ABUNDANCE,BIOMAS,valid_name,SAMPLE_DESC,LATITUDE,LONGITUDE,DAY,MONTH,YEAR
50.5,0.000163953,"Ascomorpha ecaudis",1986_5_26,46.251200,-89.503400,26,5,1986
19.8,0.0000954498,"Ascomorpha ecaudis",1993_5_20,46.251200,-89.503400,20,5,1993
297,0.00143175,"Ascomorpha ecaudis",1991_9_2,46.251200,-89.503400,2,9,1991
41.5,0.000167396,"Ascomorpha ecaudis",1986_8_4,46.251200,-89.503400,4,8,1986
260.5,0.000845737,"Ascomorpha ecaudis",1986_5_25,46.251200,-89.503400,25,5,1986
59,0.000150917,"Ascomorpha ecaudis",1984_8_12,46.251200,-89.503400,12,8,1984
46,0.000185548,"Ascomorpha ecaudis",1984_7_8,46.251200,-89.503400,8,7,1984
25,0.000120517,"Ascomorpha ecaudis",1986_6_23,46.251200,-89.503400,23,6,1986
39.5,0.000190418,"Ascomorpha ecaudis",1992_8_6,46.251200,-89.503400,6,8,1992
222,0.0593511,Asplanchna,1993_8_5,46.251200,-89.503400,5,8,1993
19.8,0.00529348,Asplanchna,1993_6_17,46.251200,-89.503400,17,6,1993
39.5,0.0105602,Asplanchna,1991_7_8,46.251200,-89.503400,8,7,1991
746.743,0.194489,Asplanchna,1996_7_1,46.251200,-89.503400,1,7,1996
39.5,0.0068871,Asplanchna,1990_6_25,46.251200,-89.503400,25,6,1990
198,0.0375845,Asplanchna,1989_8_21,46.251200,-89.503400,21,8,1989
317,0.078564,Asplanchna,1987_7_6,46.251200,-89.503400,6,7,1987
182,0.0657893,Asplanchna,1990_6_11,46.251200,-89.503400,11,6,1990
59.5,0.0159072,Asplanchna,1991_5_20,46.251200,-89.503400,20,5,1991
198,0.0490715,Asplanchna,1987_6_29,46.251200,-89.503400,29,6,1987
150,0.0503456,Asplanchna,1984_6_10,46.251200,-89.503400,10,6,1984
475,0.103327,Asplanchna,1989_7_10,46.251200,-89.503400,10,7,1989
63.5,0.0169766,Asplanchna,1991_7_15,46.251200,-89.503400,15,7,1991
31.7,0.00847491,Asplanchna,1993_6_24,46.251200,-89.503400,24,6,1993
13,0.00739627,Asplanchna,1984_8_5,46.251200,-89.503400,5,8,1984
15.8,0.00422409,Asplanchna,1994_9_1,46.251200,-89.503400,1,9,1994
33,0.00882247,Asplanchna,1991_7_29,46.251200,-89.503400,29,7,1991
248.915,0.0722269,Asplanchna,1996_7_22,46.251200,-89.503400,22,7,1996
59.5,0.0223664,Asplanchna,1987_8_31,46.251200,-89.503400,31,8,1987
49.5,0.0132337,Asplanchna,1991_7_22,46.251200,-89.503400,22,7,1991
67.5,0.0167289,Asplanchna,1989_7_24,46.251200,-89.503400,24,7,1989
261.5,0.053899,Asplanchna,1990_7_30,46.251200,-89.503400,30,7,1990
305.486,0.084481,Asplanchna,1996_7_15,46.251200,-89.503400,15,7,1996
26.5,0.00839109,Asplanchna,1989_5_22,46.251200,-89.503400,22,5,1989
198,0.0529348,Asplanchna,1993_7_29,46.251200,-89.503400,29,7,1993
11.3,0.0037927,Asplanchna,1995_7_20,46.251200,-89.503400,20,7,1995
171.5,0.0543046,Asplanchna,1988_7_18,46.251200,-89.503400,18,7,1988
39.6,0.010587,Asplanchna,1993_7_8,46.251200,-89.503400,8,7,1993
198,0.112651,Asplanchna,1984_6_24,46.251200,-89.503400,24,6,1984
297,0.0794022,Asplanchna,1991_8_12,46.251200,-89.503400,12,8,1991
251,0.0524382,Asplanchna,1990_8_26,46.251200,-89.503400,26,8,1990
75,0.102365,Asplanchna,1985_7_22,46.251200,-89.503400,22,7,1985
130.5,0.0299318,Asplanchna,1990_6_4,46.251200,-89.503400,4,6,1990
45.3,0.0170285,Asplanchna,1995_8_17,46.251200,-89.503400,17,8,1995
142.5,0.038097,Asplanchna,1991_6_24,46.251200,-89.503400,24,6,1991
55,0.0195446,Asplanchna,1988_5_23,46.251200,-89.503400,23,5,1988
132.5,0.0395352,Asplanchna,1987_6_22,46.251200,-89.503400,22,6,1987
5,0.00409376,Asplanchna,1985_8_12,46.251200,-89.503400,12,8,1985
11.3,0.0017263,Asplanchna,1995_7_13,46.251200,-89.503400,13,7,1995
317,0.0627065,Asplanchna,1990_8_20,46.251200,-89.503400,20,8,1990
15,0.00595772,Asplanchna,1987_9_7,46.251200,-89.503400,7,9,1987
290.5,0.086679,Asplanchna,1988_6_27,46.251200,-89.503400,27,6,1988
418.6,0.118298,Asplanchna,1995_9_5,46.251200,-89.503400,5,9,1995
780.685,0.206403,Asplanchna,1996_7_8,46.251200,-89.503400,8,7,1996
20,0.00534695,Asplanchna,1992_6_11,46.251200,-89.503400,11,6,1992
22.6,0.0105267,Asplanchna,1995_6_15,46.251200,-89.503400,15,6,1995
911,0.518308,Asplanchna,1984_7_1,46.251200,-89.503400,1,7,1984
287,0.163287,Asplanchna,1984_7_8,46.251200,-89.503400,8,7,1984
198,0.0529348,Asplanchna,1992_8_6,46.251200,-89.503400,6,8,1992
53,0.030154,Asplanchna,1984_8_19,46.251200,-89.503400,19,8,1984
665.3,0.669967,Asplanchna,1994_5_17,46.251200,-89.503400,17,5,1994
15.8,0.019602,Asplanchna,1994_5_26,46.251200,-89.503400,26,5,1994
316.8,0.125348,Asplanchna,1996_5_27,46.251200,-89.503400,27,5,1996
12,0.00247338,Asplanchna,1990_9_4,46.251200,-89.503400,4,9,1990
158,0.0735936,Asplanchna,1984_8_26,46.251200,-89.503400,26,8,1984
55.5,0.0128967,Asplanchna,1989_7_3,46.251200,-89.503400,3,7,1989
20,0.00600286,Asplanchna,1985_8_19,46.251200,-89.503400,19,8,1985
277,0.122438,Asplanchna,1988_7_11,46.251200,-89.503400,11,7,1988
99,0.0264674,Asplanchna,1992_5_28,46.251200,-89.503400,28,5,1992
285,0.0662261,Asplanchna,1987_8_10,46.251200,-89.503400,10,8,1987
59.5,0.0159072,Asplanchna,1991_8_26,46.251200,-89.503400,26,8,1991
198,0.0529348,Asplanchna,1992_7_30,46.251200,-89.503400,30,7,1992
132,0.0370708,Asplanchna,1988_8_22,46.251200,-89.503400,22,8,1988
148.5,0.0470218,Asplanchna,1988_7_4,46.251200,-89.503400,4,7,1988
95,0.025398,Asplanchna,1993_8_12,46.251200,-89.503400,12,8,1993
101.828,0.0227013,Asplanchna,1996_7_29,46.251200,-89.503400,29,7,1996
158,0.108423,Asplanchna,1984_6_3,46.251200,-89.503400,3,6,1984
198,0.0529348,Asplanchna,1992_6_4,46.251200,-89.503400,4,6,1992
22.6285,0.00669443,Asplanchna,1996_8_19,46.251200,-89.503400,19,8,1996
257,0.139257,Asplanchna,1984_6_17,46.251200,-89.503400,17,6,1984
340.5,0.0801476,Asplanchna,1990_8_13,46.251200,-89.503400,13,8,1990
79,0.0208581,Asplanchna,1988_6_20,46.251200,-89.503400,20,6,1988
328.5,0.0878236,Asplanchna,1990_5_28,46.251200,-89.503400,28,5,1990
950.4,0.296221,Asplanchna,1996_6_10,46.251200,-89.503400,10,6,1996
198,0.0529348,Asplanchna,1991_7_1,46.251200,-89.503400,1,7,1991
105.5,0.0354097,Asplanchna,1988_6_6,46.251200,-89.503400,6,6,1988
396,0.0604969,Asplanchna,1989_8_28,46.251200,-89.503400,28,8,1989
237.6,0.0708948,Asplanchna,1995_8_31,46.251200,-89.503400,31,8,1995
0.1,0.0000316645,Asplanchna,1988_8_29,46.251200,-89.503400,29,8,1988
178,0.0563628,Asplanchna,1987_7_27,46.251200,-89.503400,27,7,1987
119,0.0289244,Asplanchna,1990_5_19,46.251200,-89.503400,19,5,1990
210,0.037138,Asplanchna,1989_9_5,46.251200,-89.503400,5,9,1989
67.9,0.0165039,Asplanchna,1995_8_24,46.251200,-89.503400,24,8,1995
13,0.00704413,Asplanchna,1987_6_1,46.251200,-89.503400,1,6,1987
356.5,0.106372,Asplanchna,1987_7_13,46.251200,-89.503400,13,7,1987
574,0.153457,Asplanchna,1991_8_5,46.251200,-89.503400,5,8,1991
25,0.00888391,Asplanchna,1988_8_1,46.251200,-89.503400,1,8,1988
15.9,0.00425082,Asplanchna,1993_7_1,46.251200,-89.503400,1,7,1993
158.5,0.036831,Asplanchna,1987_7_20,46.251200,-89.503400,20,7,1987
79,0.0174145,Asplanchna,1990_7_9,46.251200,-89.503400,9,7,1990
534.5,0.142897,Asplanchna,1991_5_27,46.251200,-89.503400,27,5,1991
16.5,0.0129392,Asplanchna,1986_6_9,46.251200,-89.503400,9,6,1986
158.5,0.0423746,Asplanchna,1992_7_23,46.251200,-89.503400,23,7,1992
25,0.00750358,Asplanchna,1985_6_24,46.251200,-89.503400,24,6,1985
225.5,0.0685014,Asplanchna,1990_5_21,46.251200,-89.503400,21,5,1990
39.5,0.003091,Asplanchna,1987_6_15,46.251200,-89.503400,15,6,1987
39.5,0.0125075,Asplanchna,1989_5_29,46.251200,-89.503400,29,5,1989
515,0.137684,Asplanchna,1991_6_3,46.251200,-89.503400,3,6,1991
772,0.274335,Asplanchna,1984_9_9,46.251200,-89.503400,9,9,1984
277,0.0740552,Asplanchna,1991_6_10,46.251200,-89.503400,10,6,1991
105.5,0.0278548,Asplanchna,1987_8_3,46.251200,-89.503400,3,8,1987
20,0.00534695,Asplanchna,1992_7_16,46.251200,-89.503400,16,7,1992
210,0.0398624,Asplanchna,1989_7_17,46.251200,-89.503400,17,7,1989
22.6,0.00459487,Asplanchna,1995_8_3,46.251200,-89.503400,3,8,1995
113,0.0401553,Asplanchna,1988_5_30,46.251200,-89.503400,30,5,1988
109,0.0208262,Asplanchna,1989_8_14,46.251200,-89.503400,14,8,1989
20,0.0113789,Asplanchna,1984_7_15,46.251200,-89.503400,15,7,1984
20,0.00534695,Asplanchna,1991_8_19,46.251200,-89.503400,19,8,1991
10,0.00300143,Asplanchna,1985_7_1,46.251200,-89.503400,1,7,1985
33.9,0.0068923,Asplanchna,1995_8_10,46.251200,-89.503400,10,8,1995
119,0.0406325,Asplanchna,1990_6_18,46.251200,-89.503400,18,6,1990
55.5,0.00628417,Asplanchna,1990_7_23,46.251200,-89.503400,23,7,1990
35.5,0.0126151,Asplanchna,1988_7_25,46.251200,-89.503400,25,7,1988
158.5,0.0264512,Asplanchna,1990_8_6,46.251200,-89.503400,6,8,1990
20,0.00534695,Asplanchna,1992_6_18,46.251200,-89.503400,18,6,1992
257.5,0.068842,Asplanchna,1991_6_17,46.251200,-89.503400,17,6,1991
15.9,0.00425082,Asplanchna,1993_7_22,46.251200,-89.503400,22,7,1993
2036.57,0.706799,Asplanchna,1996_6_17,46.251200,-89.503400,17,6,1996
250.5,0.0582092,Asplanchna,1988_6_13,46.251200,-89.503400,13,6,1988
20,0.00534695,Asplanchna,1992_7_9,46.251200,-89.503400,9,7,1992
71.5,0.0188779,Asplanchna,1988_8_15,46.251200,-89.503400,15,8,1988
39.5,0.010429,Asplanchna,1989_8_7,46.251200,-89.503400,7,8,1989
47.5,0.012699,Asplanchna,1993_7_15,46.251200,-89.503400,15,7,1993
396,0.118158,Asplanchna,1987_8_17,46.251200,-89.503400,17,8,1987
158.5,0.037308,Asplanchna,1990_7_16,46.251200,-89.503400,16,7,1990
20,0.00534695,Asplanchna,1992_7_2,46.251200,-89.503400,2,7,1992
45.257,0.00957274,Asplanchna,1996_8_12,46.251200,-89.503400,12,8,1996
33.9,0.0082398,Asplanchna,1995_6_22,46.251200,-89.503400,22,6,1995
1.36961,0.000142377,"Bosmina longirostris",2008_6_3,46.251200,-89.503400,3,6,2008
15.8,0.00185316,"Bosmina longirostris",1994_8_18,46.251200,-89.503400,18,8,1994
47.5,0.00413653,"Bosmina longirostris",1994_7_7,46.251200,-89.503400,7,7,1994
10.4927,0.00149156,"Bosmina longirostris",2010_5_25,46.251200,-89.503400,25,5,2010
11.3145,0.000810052,"Bosmina longirostris",1996_7_8,46.251200,-89.503400,8,7,1996
650,0.0492717,"Bosmina longirostris",1993_9_7,46.251200,-89.503400,7,9,1993
3.73475,0.000300197,"Bosmina longirostris",2008_7_8,46.251200,-89.503400,8,7,2008
11.3145,0.00113553,"Bosmina longirostris",1996_6_24,46.251200,-89.503400,24,6,1996
2,0.0000611122,"Bosmina longirostris",1990_6_18,46.251200,-89.503400,18,6,1990
11.3,0.000799464,"Bosmina longirostris",1995_6_1,46.251200,-89.503400,1,6,1995
5650,0.40438,"Bosmina longirostris",1993_8_31,46.251200,-89.503400,31,8,1993
1,0.000100718,"Bosmina longirostris",1990_5_28,46.251200,-89.503400,28,5,1990
2.34695,0.0000473985,"Bosmina longirostris",2009_5_26,46.251200,-89.503400,26,5,2009
5.48699,0.00152999,"Bosmina longirostris",2009_6_2,46.251200,-89.503400,2,6,2009
1.92963,0.000115144,"Bosmina longirostris",2011_5_24,46.251200,-89.503400,24,5,2011
712.8,0.0879592,"Bosmina longirostris",1994_5_17,46.251200,-89.503400,17,5,1994
348,0.0364402,"Bosmina longirostris",1994_5_26,46.251200,-89.503400,26,5,1994
4.21703,0.000739929,"Bosmina longirostris",2008_6_24,46.251200,-89.503400,24,6,2008
9.41359,0.000440888,"Bosmina longirostris",2012_7_10,46.251200,-89.503400,10,7,2012
586.1,0.0891313,"Bosmina longirostris",1994_7_14,46.251200,-89.503400,14,7,1994
22.6,0.00190172,"Bosmina longirostris",1995_8_10,46.251200,-89.503400,10,8,1995
8.15134,0.000963032,"Bosmina longirostris",2011_5_17,46.251200,-89.503400,17,5,2011
79,0.00382515,"Bosmina longirostris",1991_6_10,46.251200,-89.503400,10,6,1991
10,0.000586442,"Bosmina longirostris",1985_6_24,46.251200,-89.503400,24,6,1985
2,0.000198144,"Bosmina longirostris",1988_5_30,46.251200,-89.503400,30,5,1988
51.6261,0.00377309,"Bosmina longirostris",2009_6_16,46.251200,-89.503400,16,6,2009
15.3293,0.00109008,"Bosmina longirostris",2009_5_19,46.251200,-89.503400,19,5,2009
3.37805,0.000165333,"Bosmina longirostris",2008_7_22,46.251200,-89.503400,22,7,2008
15.8,0.00278902,"Bosmina longirostris",1994_8_11,46.251200,-89.503400,11,8,1994
5.99596,0.00134397,"Bosmina longirostris",2009_7_28,46.251200,-89.503400,28,7,2009
99,0.00891227,"Bosmina longirostris",1994_6_30,46.251200,-89.503400,30,6,1994
39.5,0.00612303,"Bosmina longirostris",1992_7_30,46.251200,-89.503400,30,7,1992
79,0.00339807,"Bosmina longirostris",1984_8_26,46.251200,-89.503400,26,8,1984
4,0.000540764,"Bosmina longirostris",1999_8_16,46.251200,-89.503400,16,8,1999
19.796,0.00143752,"Bosmina longirostris",2009_6_23,46.251200,-89.503400,23,6,2009
2.42231,0.00088866,"Bosmina longirostris",2011_6_22,46.251200,-89.503400,22,6,2011
4,0.000308851,"Bosmina longirostris",1988_8_8,46.251200,-89.503400,8,8,1988
63.5,0.00541048,"Bosmina longirostris",1993_8_12,46.251200,-89.503400,12,8,1993
304,0.0359057,"Bosmina longirostris",1994_6_2,46.251200,-89.503400,2,6,1994
47.5,0.0115276,"Bosmina longirostris",1994_6_23,46.251200,-89.503400,23,6,1994
20,0.00118699,"Bosmina longirostris",1991_6_3,46.251200,-89.503400,3,6,1991
47.5,0.00557119,"Bosmina longirostris",1994_7_21,46.251200,-89.503400,21,7,1994
0.5,0.0000386064,"Bosmina longirostris",1988_5_23,46.251200,-89.503400,23,5,1988
2,0.000248679,"Bosmina longirostris",1989_6_26,46.251200,-89.503400,26,6,1989
132,0.0198102,"Bosmina longirostris",1994_6_9,46.251200,-89.503400,9,6,1994
9.84592,0.000325772,"Bosmina longirostris",2007_8_13,46.251200,-89.503400,13,8,2007
22.6,0.00159893,"Bosmina longirostris",1995_5_25,46.251200,-89.503400,25,5,1995
317,0.0258922,"Bosmina longirostris",1993_8_26,46.251200,-89.503400,26,8,1993
113.143,0.00548492,"Bosmina longirostris",1996_8_12,46.251200,-89.503400,12,8,1996
3.60149,0.000259223,"Bosmina longirostris",2016_8_9,46.251200,-89.503400,9,8,2016
15.8,0.00224495,"Bosmina longirostris",1994_7_28,46.251200,-89.503400,28,7,1994
12.4522,0.001416,"Bosmina longirostris",2009_6_30,46.251200,-89.503400,30,6,2009
22.6,0.00132536,"Bosmina longirostris",1995_7_6,46.251200,-89.503400,6,7,1995
7.00913,0.000231901,"Bosmina longirostris",2007_5_28,46.251200,-89.503400,28,5,2007
22.6285,0.00162007,"Bosmina longirostris",1996_6_3,46.251200,-89.503400,3,6,1996
63.5,0.00352987,"Bosmina longirostris",1993_8_19,46.251200,-89.503400,19,8,1993
26,0.000999184,"Bosmina longirostris",1984_8_19,46.251200,-89.503400,19,8,1984
14.9141,0.0019458,"Bosmina longirostris",2009_7_14,46.251200,-89.503400,14,7,2009
15.8,0.00185316,"Bosmina longirostris",1994_9_6,46.251200,-89.503400,6,9,1994
63.4,0.00542431,"Bosmina longirostris",1994_8_4,46.251200,-89.503400,4,8,1994
9.09757,0.00117897,"Bosmina longirostris",2009_7_21,46.251200,-89.503400,21,7,2009
168,0.0272861,"Bosmina longirostris",1994_6_16,46.251200,-89.503400,16,6,1994
7.00913,0.000199403,Ceriodaphnia,2007_5_28,46.251200,-89.503400,28,5,2007
2,0.000158501,Ceriodaphnia,1993_8_26,46.251200,-89.503400,26,8,1993
4.20207,0.000881892,Ceriodaphnia,2008_6_17,46.251200,-89.503400,17,6,2008
14.1771,0.00123288,Chydorus,2012_7_3,46.251200,-89.503400,3,7,2012
6.78926,0.000201111,Chydorus,2012_6_26,46.251200,-89.503400,26,6,2012
4.99242,0.000214406,Chydorus,2007_8_27,46.251200,-89.503400,27,8,2007
11.3145,0.000447486,Chydorus,1996_7_8,46.251200,-89.503400,8,7,1996
3.28293,0.000275702,Chydorus,2011_8_3,46.251200,-89.503400,3,8,2011
2,0.000116818,Chydorus,1997_6_23,46.251200,-89.503400,23,6,1997
2.0872,0.000229358,Chydorus,2011_6_7,46.251200,-89.503400,7,6,2011
1.92963,0.000133013,Chydorus,2011_5_24,46.251200,-89.503400,24,5,2011
11.3145,0.000282162,Chydorus,1996_7_1,46.251200,-89.503400,1,7,1996
1.80075,0.00013518,Chydorus,2016_8_9,46.251200,-89.503400,9,8,2016
69.5,0.000382901,"Conochilus dossuarius",1991_5_20,46.251200,-89.503400,20,5,1991
7349.8,0.0404928,"Conochilus dossuarius",1994_8_18,46.251200,-89.503400,18,8,1994
1013.8,0.0055854,"Conochilus dossuarius",1994_8_25,46.251200,-89.503400,25,8,1994
237.5,0.00130847,"Conochilus dossuarius",1993_6_17,46.251200,-89.503400,17,6,1993
294.2,0.00136036,"Conochilus dossuarius",1995_7_13,46.251200,-89.503400,13,7,1995
95,0.00052339,"Conochilus dossuarius",1994_5_26,46.251200,-89.503400,26,5,1994
8791,0.0380544,"Conochilus dossuarius",1987_6_29,46.251200,-89.503400,29,6,1987
10090.1,0.0555901,"Conochilus dossuarius",1994_8_4,46.251200,-89.503400,4,8,1994
924,0.00318166,"Conochilus dossuarius",1985_7_29,46.251200,-89.503400,29,7,1985
578,0.00267263,"Conochilus dossuarius",1990_8_20,46.251200,-89.503400,20,8,1990
6375.5,0.0426518,"Conochilus dossuarius",1987_6_15,46.251200,-89.503400,15,6,1987
6906.2,0.0380488,"Conochilus dossuarius",1994_7_14,46.251200,-89.503400,14,7,1994
79.2,0.000366216,"Conochilus dossuarius",1995_7_6,46.251200,-89.503400,6,7,1995
105.5,0.000363274,"Conochilus dossuarius",1985_5_20,46.251200,-89.503400,20,5,1985
63.5,0.000349845,"Conochilus dossuarius",1991_7_15,46.251200,-89.503400,15,7,1991
7297.7,0.0337441,"Conochilus dossuarius",1995_8_24,46.251200,-89.503400,24,8,1995
353,0.000937675,"Conochilus dossuarius",1985_7_15,46.251200,-89.503400,15,7,1985
410,0.00141178,"Conochilus dossuarius",1990_9_10,46.251200,-89.503400,10,9,1990
660,0.00357125,"Conochilus dossuarius",1989_5_22,46.251200,-89.503400,22,5,1989
3242.5,0.0175451,"Conochilus dossuarius",1987_9_7,46.251200,-89.503400,7,9,1987
851.5,0.00460745,"Conochilus dossuarius",1988_5_23,46.251200,-89.503400,23,5,1988
911,0.00501903,"Conochilus dossuarius",1990_6_25,46.251200,-89.503400,25,6,1990
356.5,0.00196409,"Conochilus dossuarius",1991_8_26,46.251200,-89.503400,26,8,1991
465.5,0.00178607,"Conochilus dossuarius",1989_5_19,46.251200,-89.503400,19,5,1989
4411.5,0.0203985,"Conochilus dossuarius",1990_8_13,46.251200,-89.503400,13,8,1990
3564,0.0196354,"Conochilus dossuarius",1990_7_30,46.251200,-89.503400,30,7,1990
565.7,0.00261576,"Conochilus dossuarius",1995_6_29,46.251200,-89.503400,29,6,1995
380.2,0.00209466,"Conochilus dossuarius",1994_9_1,46.251200,-89.503400,1,9,1994
134.5,0.000582222,"Conochilus dossuarius",1989_7_3,46.251200,-89.503400,3,7,1989
142.5,0.000953317,"Conochilus dossuarius",1985_9_2,46.251200,-89.503400,2,9,1985
689,0.00379595,"Conochilus dossuarius",1990_7_2,46.251200,-89.503400,2,7,1990
1210.6,0.00559773,"Conochilus dossuarius",1995_6_15,46.251200,-89.503400,15,6,1995
4346,0.0235161,"Conochilus dossuarius",1988_7_4,46.251200,-89.503400,4,7,1988
2566.1,0.0141376,"Conochilus dossuarius",1994_6_16,46.251200,-89.503400,16,6,1994
1738.5,0.00461798,"Conochilus dossuarius",1985_7_22,46.251200,-89.503400,22,7,1985
3450.9,0.0159567,"Conochilus dossuarius",1995_9_5,46.251200,-89.503400,5,9,1995
119,0.000515126,"Conochilus dossuarius",1989_8_7,46.251200,-89.503400,7,8,1989
422.5,0.0028265,"Conochilus dossuarius",1988_8_8,46.251200,-89.503400,8,8,1988
2919.1,0.0134977,"Conochilus dossuarius",1995_8_17,46.251200,-89.503400,17,8,1995
5413.5,0.029825,"Conochilus dossuarius",1990_6_4,46.251200,-89.503400,4,6,1990
99,0.000545427,"Conochilus dossuarius",1991_7_8,46.251200,-89.503400,8,7,1991
4145,0.0277298,"Conochilus dossuarius",1988_6_27,46.251200,-89.503400,27,6,1988
124.5,0.00057568,"Conochilus dossuarius",1995_7_27,46.251200,-89.503400,27,7,1995
646.5,0.0034982,"Conochilus dossuarius",1988_5_30,46.251200,-89.503400,30,5,1988
486.5,0.00224954,"Conochilus dossuarius",1995_7_20,46.251200,-89.503400,20,7,1995
1696.5,0.0113495,"Conochilus dossuarius",1988_7_18,46.251200,-89.503400,18,7,1988
4328.5,0.0234215,"Conochilus dossuarius",1988_7_11,46.251200,-89.503400,11,7,1988
24,0.000103891,"Conochilus dossuarius",1989_7_10,46.251200,-89.503400,10,7,1989
416,0.0022919,"Conochilus dossuarius",1991_6_17,46.251200,-89.503400,17,6,1991
67.5,0.000292193,"Conochilus dossuarius",1989_7_31,46.251200,-89.503400,31,7,1989
2389,0.0192728,"Conochilus dossuarius",1988_6_20,46.251200,-89.503400,20,6,1988
27.5,0.000119042,"Conochilus dossuarius",1989_7_24,46.251200,-89.503400,24,7,1989
227,0.000781642,"Conochilus dossuarius",1985_6_3,46.251200,-89.503400,3,6,1985
328,0.00141984,"Conochilus dossuarius",1985_8_5,46.251200,-89.503400,5,8,1985
463.5,0.00205199,"Conochilus dossuarius",1990_7_9,46.251200,-89.503400,9,7,1990
6122,0.0337283,"Conochilus dossuarius",1990_6_11,46.251200,-89.503400,11,6,1990
15539,0.0856101,"Conochilus dossuarius",1994_7_28,46.251200,-89.503400,28,7,1994
2560.5,0.0110839,"Conochilus dossuarius",1987_8_3,46.251200,-89.503400,3,8,1987
683,0.00295656,"Conochilus dossuarius",1989_8_14,46.251200,-89.503400,14,8,1989
2019.5,0.0162919,"Conochilus dossuarius",1988_6_6,46.251200,-89.503400,6,6,1988
1074.5,0.00369988,"Conochilus dossuarius",1990_8_26,46.251200,-89.503400,26,8,1990
2118.5,0.0141727,"Conochilus dossuarius",1987_8_31,46.251200,-89.503400,31,8,1987
545.5,0.00187835,"Conochilus dossuarius",1990_9_4,46.251200,-89.503400,4,9,1990
380,0.00209356,"Conochilus dossuarius",1991_6_24,46.251200,-89.503400,24,6,1991
158.4,0.000872684,"Conochilus dossuarius",1994_5_17,46.251200,-89.503400,17,5,1994
1109,0.00294584,"Conochilus dossuarius",1989_8_21,46.251200,-89.503400,21,8,1989
4174,0.0229961,"Conochilus dossuarius",1990_7_23,46.251200,-89.503400,23,7,1990
1267,0.00698037,"Conochilus dossuarius",1990_6_18,46.251200,-89.503400,18,6,1990
429,0.00198367,"Conochilus dossuarius",1985_6_24,46.251200,-89.503400,24,6,1985
2930.5,0.0126855,"Conochilus dossuarius",1989_6_12,46.251200,-89.503400,12,6,1989
1538.7,0.00711485,"Conochilus dossuarius",1995_6_8,46.251200,-89.503400,8,6,1995
26.5,0.000177284,"Conochilus dossuarius",1988_8_22,46.251200,-89.503400,22,8,1988
1041.5,0.00573801,"Conochilus dossuarius",1990_5_19,46.251200,-89.503400,19,5,1990
4461.5,0.0298472,"Conochilus dossuarius",1987_6_22,46.251200,-89.503400,22,6,1987
732.5,0.00396355,"Conochilus dossuarius",1987_8_24,46.251200,-89.503400,24,8,1987
372,0.00161031,"Conochilus dossuarius",1989_6_26,46.251200,-89.503400,26,6,1989
